25, 1, 1;625.000000
26, 1, 1;650.000000
27, 1, 1;675.000000
28, 1, 1;700.000000
29, 1, 1;725.000000
30, 1, 1;750.000000
31, 1, 1;775.000000
22, 2, 1;1325.000000
23, 2, 1;1350.000000
24, 2, 1;1375.000000
25, 2, 1;1400.000000
26, 2, 1;1425.000000
27, 2, 1;1450.000000
28, 2, 1;1475.000000
25, 3, 1;2100.000000
26, 3, 1;2125.000000
27, 3, 1;2150.000000
28, 3, 1;2175.000000
29, 3, 1;2200.000000
30, 3, 1;2225.000000
31, 3, 1;2250.000000
24, 4, 1;2850.000000
25, 4, 1;2875.000000
26, 4, 1;2900.000000
27, 4, 1;2925.000000
28, 4, 1;2950.000000
29, 4, 1;2975.000000
30, 4, 1;3000.000000
25, 5, 1;3625.000000
26, 5, 1;3650.000000
27, 5, 1;3675.000000
28, 5, 1;3700.000000
29, 5, 1;3725.000000
30, 5, 1;3750.000000
31, 5, 1;3775.000000
24, 6, 1;4375.000000
25, 6, 1;4400.000000
26, 6, 1;4425.000000
27, 6, 1;4450.000000
28, 6, 1;4475.000000
29, 6, 1;4500.000000
30, 6, 1;4525.000000
25, 7, 1;5150.000000
26, 7, 1;5175.000000
27, 7, 1;5200.000000
28, 7, 1;5225.000000
29, 7, 1;5250.000000
30, 7, 1;5275.000000
31, 7, 1;5300.000000
25, 8, 1;5925.000000
26, 8, 1;5950.000000
27, 8, 1;5975.000000
28, 8, 1;6000.000000
29, 8, 1;6025.000000
30, 8, 1;6050.000000
31, 8, 1;6075.000000
24, 9, 1;6675.000000
25, 9, 1;6700.000000
26, 9, 1;6725.000000
27, 9, 1;6750.000000
28, 9, 1;6775.000000
29, 9, 1;6800.000000
30, 9, 1;6825.000000
25, 10, 1;7450.000000
26, 10, 1;7475.000000
27, 10, 1;7500.000000
28, 10, 1;7525.000000
29, 10, 1;7550.000000
30, 10, 1;7575.000000
31, 10, 1;7600.000000
24, 11, 1;8200.000000
25, 11, 1;8225.000000
26, 11, 1;8250.000000
27, 11, 1;8275.000000
28, 11, 1;8300.000000
29, 11, 1;8325.000000
30, 11, 1;8350.000000
25, 12, 1;8975.000000
26, 12, 1;9000.000000
27, 12, 1;9025.000000
28, 12, 1;9050.000000
29, 12, 1;9075.000000
30, 12, 1;9100.000000
31, 12, 1;9125.000000
25, 1, 2;9750.000000
26, 1, 2;9775.000000
27, 1, 2;9800.000000
28, 1, 2;9825.000000
29, 1, 2;9850.000000
30, 1, 2;9875.000000
31, 1, 2;9900.000000
22, 2, 2;10450.000000
23, 2, 2;10475.000000
24, 2, 2;10500.000000
25, 2, 2;10525.000000
26, 2, 2;10550.000000
27, 2, 2;10575.000000
28, 2, 2;10600.000000
25, 3, 2;11225.000000
26, 3, 2;11250.000000
27, 3, 2;11275.000000
28, 3, 2;11300.000000
29, 3, 2;11325.000000
30, 3, 2;11350.000000
31, 3, 2;11375.000000
24, 4, 2;11975.000000
25, 4, 2;12000.000000
26, 4, 2;12025.000000
27, 4, 2;12050.000000
28, 4, 2;12075.000000
29, 4, 2;12100.000000
30, 4, 2;12125.000000
25, 5, 2;12750.000000
26, 5, 2;12775.000000
27, 5, 2;12800.000000
28, 5, 2;12825.000000
29, 5, 2;12850.000000
30, 5, 2;12875.000000
31, 5, 2;12900.000000
24, 6, 2;13500.000000
25, 6, 2;13525.000000
26, 6, 2;13550.000000
27, 6, 2;13575.000000
28, 6, 2;13600.000000
29, 6, 2;13625.000000
30, 6, 2;13650.000000
25, 7, 2;14275.000000
26, 7, 2;14300.000000
27, 7, 2;14325.000000
28, 7, 2;14350.000000
29, 7, 2;14375.000000
30, 7, 2;14400.000000
31, 7, 2;14425.000000
25, 8, 2;15050.000000
26, 8, 2;15075.000000
27, 8, 2;15100.000000
28, 8, 2;15125.000000
29, 8, 2;15150.000000
30, 8, 2;15175.000000
31, 8, 2;15200.000000
24, 9, 2;15800.000000
25, 9, 2;15825.000000
26, 9, 2;15850.000000
27, 9, 2;15875.000000
28, 9, 2;15900.000000
29, 9, 2;15925.000000
30, 9, 2;15950.000000
25, 10, 2;16575.000000
26, 10, 2;16600.000000
27, 10, 2;16625.000000
28, 10, 2;16650.000000
29, 10, 2;16675.000000
30, 10, 2;16700.000000
31, 10, 2;16725.000000
24, 11, 2;17325.000000
25, 11, 2;17350.000000
26, 11, 2;17375.000000
27, 11, 2;17400.000000
28, 11, 2;17425.000000
29, 11, 2;17450.000000
30, 11, 2;17475.000000
25, 12, 2;18100.000000
26, 12, 2;18125.000000
27, 12, 2;18150.000000
28, 12, 2;18175.000000
29, 12, 2;18200.000000
30, 12, 2;18225.000000
31, 12, 2;18250.000000
25, 1, 3;18875.000000
26, 1, 3;18900.000000
27, 1, 3;18925.000000
28, 1, 3;18950.000000
29, 1, 3;18975.000000
30, 1, 3;19000.000000
31, 1, 3;19025.000000
22, 2, 3;19575.000000
23, 2, 3;19600.000000
24, 2, 3;19625.000000
25, 2, 3;19650.000000
26, 2, 3;19675.000000
27, 2, 3;19700.000000
28, 2, 3;19725.000000
25, 3, 3;20350.000000
26, 3, 3;20375.000000
27, 3, 3;20400.000000
28, 3, 3;20425.000000
29, 3, 3;20450.000000
30, 3, 3;20475.000000
31, 3, 3;20500.000000
24, 4, 3;21100.000000
25, 4, 3;21125.000000
26, 4, 3;21150.000000
27, 4, 3;21175.000000
28, 4, 3;21200.000000
29, 4, 3;21225.000000
30, 4, 3;21250.000000
25, 5, 3;21875.000000
26, 5, 3;21900.000000
27, 5, 3;21925.000000
28, 5, 3;21950.000000
29, 5, 3;21975.000000
30, 5, 3;22000.000000
31, 5, 3;22025.000000
24, 6, 3;22625.000000
25, 6, 3;22650.000000
26, 6, 3;22675.000000
